//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//-----------------------------------------------------------------------------------
// 워프
m	752	1415	0	0	0	0	1m	100	1	10056
m	156	283	0	0	0	0	1m	100	1	10056
m	1392	154	0	0	0	0	1m	100	1	10056
m	1413	1453	0	0	0	0	1m	100	1	10026
// 다나까 -----------------------------------------------------------------------------------
s	0	0	0	0	0	0	600s	100	15	5004
// 워프NPC -----------------------------------------------------------------------------------
//m	780	620	0	0	0	0	60s	100	1	9012
// Quest NPC ---------------------------------------------------------------------------------
m	374	1411	0	0	0	0	60s	100	1	20359
m	1463	513	0	0	0	0	60s	100	1	20359
m	467	5030	0	0	0	0	60s	100	1	20359

