//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
// 군직NPC
m       444     623     0       0       0       7       1m      100     1       20340
m       444     627     0       0       0       7       1m      100     1       20341
m       444     631     0       0       0       7       1m      100     1       20342
m       444     635     0       0       0       7       1m      100     1       20343
m       443     644     0       0       0       7       1m      100     1       20344
m       443     648     0       0       0       7       1m      100     1       20345
m       443     652     0       0       0       7       1m      100     1       20346
m       443     656     0       0       0       7       1m      100     1       20347
// 상점주인들
m	430	607	0	0	0	8	1m	100	1	9001
//m	431	608	0	0	0	8	1m	100	1	9007
m	403	586	0	0	0	1	1m	100	1	9002
//m	402	586	0	0	0	1	1m	100	1	9008
m	383	693	0	0	0	5	1m	100	1	9003
m	315	560	0	0	0	3	1m	100	1	9005
m	417	671	0	0	0	6	1m	100	1	9006
m	393	692	0	0	0	5	1m	100	1	20016
m	372	701	0	0	0	7	1m	100	1	20381
m	394	702	0	0	0	3	1s	100	1	20091
// 어부들----------------------------------------------------------------------------
m	711	234	0	0	0	0	1m	100	1	9009
m	732	390	0	0	0	0	1m	100	1	9009
m	772	472	0	0	0	0	1m	100	1	9009
m	763	809	0	0	0	0	1m	100	1	9009
m	773	905	0	0	0	0	1m	100	1	9009
m	428	480	0	0	0	0	1m	100	1	9009
m	386	849	0	0	0	0	1m	100	1	9009
m	819	315	0	0	0	0	1m	100	1	9009
// NPC-------------------------------------------------------------------------------
m	396	735	0	0	0	2	1m	100	1	20349
m	340	747	0	0	0	7	1m	100	1	20008
m	454	530	0	0	0	0	1m	100	1	20023
m	343	560	1	1	0	0	1m	100	1	20002
m	378	577	1	1	0	0	1m	100	1	20003
//g	323	617	1	1	0	0	1m	100	1	11003
m	292	718	1	1	0	0	1m	100	1	20005
m	336	770	1	1	0	0	1m	100	1	20006
m	425	716	1	1	0	0	1m	100	1	20011
m	465	612	1	1	0	0	1m	100	1	20018
g	383	740	1	1	0	0	1m	100	1	12007
// 워프----------------------------------------------------------------------------------
m	137	126	0	0	0	0	1m	100	1	10005
// 워프용 npc
m	125	1118	0	0	0	4	1m	100	1	20009
m	432	685	0	0	0	4	1m	100	1	9012
//m	396	1148	0	0	0	3	1m	100	1	10089

// 길드
m	383	640	0	0	0	0	1m	100	1	11004
m	367	617	0	0	0	0	1m	100	1	11005
// 왜구 -----------------------------------------------------------------------------------
s	0	0	0	0	0	0	7200s	100	1	5001
// 근면의 훈장 이벤트용 NPC
m	323	617	1	1	0	0	1m	100	1	20041
// 다나까 -----------------------------------------------------------------------------------
s	0	0	0	0	0	0	600s	100	10	5004
// QuestNPC-------------------------------------------------------------------------------
m	286	639	0	0	0	0	1m	100	1	20355
m	468	714	0	0	0	0	1m	100	1	20354
m	771	78	0	0	0	0	1m	100	1	20358
m	114	960	0	0	0	0	1m	100	1	20357
m	285	285	0	0	0	0	1m	100	1	20084
// 이벤트용 NPC
m	447	928	0	0	0	0	1m	100	1	20086
m	456	936	0	0	0	0	1m	100	1	20087
m	300	867	0	0	0	0	1m	100	1	20090

// over9제련 NPC
m	384	567	0	0	0	0	1m	100	1	20094

m	321	735	0	0	0	3	1m	100	1	20001	
