VNUM	TYPE	MODEL	NAME	REG_1	REG_2	REG_3	REG_4	XROT_LIMIT	YROT_LIMIT	ZROT_LIMIT	PRICE	MATERIALS	NPC	GROUP	DEPEND_GROUP	???????
14013	FACILITY	jedan	Silah Ustasý	-525	-525	525	525	0	0	360	20000000	90010,20/90011,30/90012,20	20044	2	1	1
14014	FACILITY	jedan	Zýrh Ustasý	-525	-525	525	525	0	0	360	20000000	90010,20/90011,30/90012,20	20045	2	1	1
14015	FACILITY	jedan	Kuyumcu	-525	-525	525	525	0	0	360	20000000	90010,20/90011,30/90012,20	20046	2	1	1
14033	FACILITY	suryeonjang	Egitim Merkezi	-832.57	-472.99	832.57	472.99	0	0	360	20000000	90010,25/90011,25/90012,25	0	0	0	2
14043	FACILITY	yonggwangro	Elmas Ýþleyicisi	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20060	3	1	1
14045	FACILITY	yonggwangro	Fosil Tahta Ýþleyici	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20062	3	1	1
14046	FACILITY	yonggwangro	Bakýr Ýþleyicisi	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20063	3	1	1
14047	FACILITY	yonggwangro	Gümüþ Ýþleyicisi	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20064	3	1	1
14048	FACILITY	yonggwangro	Altýn Ýþleyicisi	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20065	3	1	1
14049	FACILITY	yonggwangro	Yesim Taþý Ýþleyici	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20066	3	1	1
14050	FACILITY	yonggwangro	Abanoz Ýþleyicisi	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20067	3	1	1
14051	FACILITY	yonggwangro	Ýnci Ýþleyicisi	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20068	3	1	1
14052	FACILITY	yonggwangro	B.Altýn Ýþleyicisi	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20069	3	1	1
14053	FACILITY	yonggwangro	Kristal Ýþleyicisi	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20070	3	1	1
14054	FACILITY	yonggwangro	Ametist Ýþleyicisi	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20071	3	1	1
14055	FACILITY	yonggwangro	C. Gözü Ýþleyicisi	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20072	3	1	1
14061	FACILITY	himuijedan_01	Güç Sunaðý	-523.91	-995.84	527.55	750.99	0	0	360	25000000	90010,25/90011,25/90012,25	20077	4	1	1
14062	FACILITY	himuijedan_02	Güç Sunaðý	-586.17	-995.84	587.18	818.56	0	0	360	500000000	90010,50/90011,50/90012,50	20078	4	4	2
14063	FACILITY	himuijedan_03	Güç Sunaðý	-664.7	-995.84	665.7	896.57	0	0	360	750000000	90010,75/90011,75/90012,75	20079	4	4	2
14100	HEADQUARTER	a1-011-workhouse	Ev(1)	-676.52	-894.26	690.18	749.32	0	0	360	20000000	90010,20/90011,30/90012,25	0	1	0	1
14101	OBJECT	a1-038-wall-corner	Taþ Duvar(1-1)	-400	-153.53	156.48	400	0	0	360	2000000	90010,15/90011,5/90012,5	0	5	0	2
14102	OBJECT	a1-038-wall-lin	Taþ Duvar(1-2)	-200	-106.73	300	106.73	0	0	360	1000000	90010,15/90011,5/90012,5	0	5	0	2
14103	OBJECT	a1-038-wall-lin2	Taþ Duvar(1-3)	-500	-106.73	500	106.73	0	0	360	1000000	90010,15/90011,5/90012,5	0	5	0	2
14104	OBJECT	a1-038-wall-door	Kapý(1)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	2
14105	BUILDIN	a1-set	Duvar(1)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	1
14110	HEADQUARTER	b1-011-workhouse	Ev(2)	-678.76	-894.26	687.94	749.32	0	0	360	20000000	90010,20/90011,30/90012,25	0	1	0	1
14111	OBJECT	b1-038-wall-corner	Taþ Duvar(2-1)	-400	-153.53	156.48	400	0	0	360	2000000	90010,15/90011,5/90012,5	0	5	0	2
14112	OBJECT	b1-038-wall-lin	Taþ Duvar(2-2)	-200	-106.73	300	106.73	0	0	360	1000000	90010,15/90011,5/90012,5	0	5	0	2
14113	OBJECT	b1-038-wall-lin2	Taþ Duvar(2-3)	-500	-106.73	500	106.73	0	0	360	1000000	90010,15/90011,5/90012,5	0	5	0	2
14114	OBJECT	b1-038-wall-door	Kapý(2)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	2
14115	BUILDIN	b1-set	Duvar(2)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	1
14120	HEADQUARTER	c1-011-workhouse	Ev(3)	-676.52	-894.26	690.18	749.32	0	0	360	20000000	90010,20/90011,30/90012,25	0	1	0	1
14121	OBJECT	c1-038-wall-corner	Taþ Duvar(3-1)	-400	-153.53	156.48	400	0	0	360	2000000	90010,15/90011,5/90012,5	0	5	0	2
14122	OBJECT	c1-038-wall-lin	Taþ Duvar(3-2)	-200	-106.73	300	106.73	0	0	360	1000000	90010,15/90011,5/90012,5	0	5	0	2
14123	OBJECT	c1-038-wall-lin2	Taþ Duvar(3-3)	-500	-106.73	500	106.73	0	0	360	1000000	90010,15/90011,5/90012,5	0	5	0	2
14124	OBJECT	c1-038-wall-door	Kapý(3)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	2
14125	BUILDIN	c1-set	Duvar(3)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	1
14200	OBJECT	guild_symbol	Lonca Ýþareti	-45.9	-9.44	42.68	40.13	0	0	360	3000000	90011,5/90012,5	0	0	1	1
14201	WALL	fence01_door01	Duvarýn Ön Yüzü	-1000	-54	1000	20	0	0	360	3000000	"90010.50"	0	0	1	1
