QUEST_CATEGORY_00	Ana Görevler
QUEST_CATEGORY_01	Yan Görevler
QUEST_CATEGORY_02	Araþtýrma Görevleri
QUEST_CATEGORY_03	Av Görevleri
QUEST_CATEGORY_04	Uyarýlar
QUEST_CATEGORY_05	Bilgilendirme
QUEST_CATEGORY_06	Diðer Görevler
QUEST_CATEGORY_07	Günlük Görevler
ACCEPT	Kabul Et.
ACCE_ABSORB	Bonus Emiþi
ACCE_COMBINE	Kombinasyon
ACCE_MAIN	Kuþak 1
ACCE_RESULT	Sonuç
ACCE_SERVE	Kuþak 2
AUTO_AUTO_ATTACK	Saldýr
AUTO_AUTO_POSITION	Ýksirler
AUTO_AUTO_SKILL	Beceriler
AUTO_CLEAR	Boþalt
AUTO_END	Dur
AUTO_OFF	Kapalý
AUTO_ON	Açýk
AUTO_POSITION_SETTING	Ýksirler
AUTO_SETTING	Ayarlar
AUTO_SKILL_SETTING	Beceriler
AUTO_START	Baþla
AUTO_TITLE	Otomatik Av
ATTACH_METIN_INFO	Ruh Taþý'ný eklemek istiyor musun?
ATTACH_METIN_TITLE	Ruh Taþý'ný ekle
CANCEL	iptal
CHANGE_PASSWORD_CONFIRM	Yeni þifreyi tekrarla
CHANGE_PASSWORD_NEW	Yeni þifre
CHANGE_PASSWORD_OLD	Eski þifre
CHANGE_PASSWORD_TITLE	Þifre Deðiþtir
CHARACTER_ACTION	Duygu
CHARACTER_EMOTICON	Duygu
CHARACTER_MAIN	Karakter
CHARACTER_MUTUAL_ACTION	Ortak Hareket
CHARACTER_NORMAL_ACTION	Normal Hareket
CHARACTER_QUEST	Görevler
CHARACTER_SKILL	Beceri
CHAT_FILTER	Sohbet Süzgeci
CHAT_FILTER_DICE	Zar
CLOSE	Kapat
COMB_APPEARANCE	Kostüm 1
COMB_ATTRIBUTE	Kostüm 2
COMB_SKILLBOOK_TILE	Kitap takas et
COMB_TITLE	
COSTUME_TITLE	Kostümler
COSTUME_WINDOW_TITLE	Kostümler
CREATE_ATT_GRADE	STR
CREATE_CREATE	Oluþtur
CREATE_DEX_GRADE	DEX
CREATE_HP	HP
CREATE_LAST_POINT	Puan
CREATE_MAN	Erkek
CREATE_NAME	Isim
CREATE_NEXT	Sonraki
CREATE_PREV	Önceki
CREATE_SEX	Cinsiyet
CREATE_SHAPE	Biçim
CREATE_SP	Zeka
CREATE_STAT_RESET	Sýfýrla
CREATE_WOMAN	Kadýn
CUBE_INFO_TITLE	Arýndýrma Kýlavuzu
CUBE_RENEWAL_BELT_IMPROVE	Þansý artýr
CUBE_RENEWAL_TITLE	Arýndýrma
CUBE_REQUIRE_MATERIAL	Gerekli malzemeler:
CUBE_REQUIRE_MATERIAL_OR	veya
CUBE_TITLE	Arýndýrma Paneli
DO_REFINE	Arýndýr
DRAGONSOUL_ACTIVATE	Etkinleþtir
DRAGONSOUL_PAGE_BUTTON_1	Ýþlenmemiþ
DRAGONSOUL_PAGE_BUTTON_2	Yontulmuþ
DRAGONSOUL_PAGE_BUTTON_3	Ender
DRAGONSOUL_PAGE_BUTTON_4	Antika
DRAGONSOUL_PAGE_BUTTON_5	Efsanevi
DRAGONSOUL_REFINE_WINDOW_TITLE	Arýndýrma Paneli
DRAGONSOUL_TAP_TITLE_1	Ejderha Elmasý
DRAGONSOUL_TAP_TITLE_2	Ejderha Yakutu
DRAGONSOUL_TAP_TITLE_3	Ejderha Yeþimi
DRAGONSOUL_TAP_TITLE_4	Ejderha Safiri
DRAGONSOUL_TAP_TITLE_5	Ejderha Grenasý
DRAGONSOUL_TAP_TITLE_6	Ejderha Oniksi
DRAGONSOUL_TITLE	Ejderha Taþý Simyasý
EMPIRE_EXIT	Çýkýþ
EMPIRE_NEXT	Sonraki
EMPIRE_PREV	Önceki
EMPIRE_SELECT	Seçim
EXCHANGE_ACCEPT	Kabul
EXCHANGE_TITLE	Ticaret
GAMEOPTION_TITLE	Oyun Seçenekleri
GAME_EXIT_OBSERVER	Ýzlemeyi Bitir
GAME_HELP	Yardým
GAME_QUEST	Görevler
GAME_SKILL_UP	Becerileri Geliþtir
GAME_STAT_UP	Statü Geliþtir
GRADE	Sýnýf
GRADE_SELECT	Sýnýf
GUILD_BASENAME	Temel isim
GUILD_BOARD_ID	Isim
GUILD_BOARD_REFRESH	Yenile (F5)
GUILD_BOARD_TEXT	Mesaj
