//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//-----------------------------------------------------------------------------------
g	783	205	491	113	0	0	1m	100	174	62
g	247	688	155	363	0	0	1m	100	176	62
g	1312	695	145	354	0	0	1m	100	161	62
g	776	1167	683	103	0	0	1m	100	220	62
g	781	1372	511	83	0	0	1m	100	133	62
g	786	691	366	355	0	0	1m	100	204	63
g	786	691	366	355	0	0	1m	100	204	64
g	868	631	25	21	0	0	1m	100	1	65
m	109	1427	0	0	0	0	1m	100	1	10016
m	1393	135	0	0	0	0	1m	100	1	10018
m	149	135	0	0	0	0	1m	100	1	10026
